!# time[s]	real	imag	abs
0.442942	0.0474548	-0.0644684	0.0800508
0.443173	-0.0125427	-0.065506	0.066696
0.443404	0.00448609	0.0834351	0.0835556
0.443635	0.19606	0.0408783	0.200276
0.443866	0.124847	0.0867615	0.152034
0.444097	0.094101	0.0625458	0.112991
0.444328	0.0836945	-0.116119	0.143138
0.444559	-0.0341492	-0.0311279	0.0462073
0.44479	0.0121765	-0.118103	0.118729
0.445021	0.0970307	0.0542297	0.111157
0.445252	-0.0552521	-0.0447845	0.0711228
0.445483	-0.00294495	0.080246	0.0803
0.445714	0.0459137	0.0883331	0.0995531
0.445945	0.0825195	0.0111084	0.0832639
0.446176	0.298981	-0.0500946	0.303148
0.446407	-0.130569	0.0342407	0.134985
0.446638	0.226105	-0.0528259	0.232194
0.446869	-0.0665436	-0.0527954	0.0849435
0.4471	0.0132904	0.203125	0.203559
0.447331	0.0418396	0.00744629	0.0424971
0.447562	-0.0186157	0.00425719	0.0190963
0.447793	0.130981	-0.0229492	0.132977
0.448024	0.0399628	0.034195	0.0525958
0.448255	0.0658264	-0.0226288	0.0696073
0.448486	0.0904236	-0.0875092	0.125834
0.448717	0.191162	-0.032959	0.193983
0.448948	-0.0374756	0.0128784	0.0396267
0.449179	0.110001	0.0409851	0.117388
0.44941	-0.0366516	-0.00354004	0.0368222
0.449641	-0.0027771	-0.0184326	0.0186406
0.449872	-0.0531158	0.0231018	0.0579223
0.450103	0.175171	-0.0160675	0.175906
0.450334	0.163666	-0.0729065	0.17917
0.450565	0.0584564	-0.0115051	0.0595779
0.450796	0.108933	-0.0571747	0.123025
0.451027	-0.00848388	0.117981	0.118286
0.451258	0.0961151	-0.0140686	0.0971393
0.451489	-0.00209046	-0.0993195	0.0993415
0.45172	0.0649109	-0.0145416	0.0665198
0.451951	0.0756531	-0.0465698	0.0888377
0.452182	0.108994	-0.0982361	0.146731
0.452413	0.00065613	-0.147217	0.147218
0.452644	0.170914	-0.0319519	0.173875
0.452875	-0.074646	-0.00762939	0.0750349
0.453106	0.118164	0.0794678	0.1424
0.453337	0.110275	0.00564575	0.11042
0.453568	0.155258	0.0325165	0.158627
0.453799	0.0989685	-0.0505982	0.111153
0.45403	0.12059	-0.0469513	0.129408
0.454261	0.179352	-0.0723572	0.193398
0.454492	0.135956	0.0112457	0.13642
0.454723	0.149399	-0.0263977	0.151713
0.454954	0.0689545	0.00885008	0.0695201
0.455185	0.114105	0.0520325	0.125409
0.455416	0.107147	-0.0823517	0.135138
0.455647	0.0246582	0.109055	0.111808
0.455878	0.0243225	0.0571289	0.062091
0.456109	0.0444794	0.0509644	0.0676445
0.45634	0.182953	-0.0154114	0.183601
0.456571	0.110504	-0.0540314	0.123006
0.456802	0.273239	0.0929108	0.288604
0.457033	0.213135	0.111526	0.240551
0.457264	0.140427	-0.142685	0.200197
0.457495	0.0969086	0.0490875	0.108632
0.457726	0.147614	-0.0509186	0.156149
0.457957	0.079422	0.0638123	0.101882
0.458188	-0.0203857	-0.0133667	0.0243772
0.458419	0.0393066	-0.0126953	0.041306
0.45865	0.0961151	0.0331116	0.101659
0.458881	-0.0584717	-0.0584717	0.0826915
0.459112	-0.107071	-0.01828	0.10862
0.459343	0.0753479	0.118485	0.140413
0.459574	-0.0139618	-0.0682831	0.0696959
0.459805	0.030838	0.0284119	0.0419311
0.460036	-0.109299	0.0745392	0.132296
0.460267	0.0944824	-0.111115	0.145854
0.460498	-0.0108032	0.156204	0.156577
0.460729	0.0096283	-0.020752	0.0228768
0.46096	0.121063	0.0731659	0.141455
0.461191	0.0101624	-0.00837708	0.01317
0.461422	0.0600586	0.010376	0.0609483
0.461653	0.190216	0.0520172	0.1972
0.461884	0.225479	-0.111786	0.251668
0.462115	0.0601959	-0.0936585	0.111335
0.462346	0.221481	0.0698242	0.232227
0.462577	0.00569153	-0.1147	0.114841
0.462808	0.217377	0.0763855	0.230407
0.463039	0.0833283	0.0749054	0.112046
0.46327	0.0809174	0.0713654	0.107892
0.463501	0.038147	0.118607	0.12459
0.463732	0.108032	-0.0453796	0.117176
0.463963	0.174103	0.0865021	0.194408
0.464194	0.00048829	-0.170502	0.170502
0.464425	0.124558	0.0249176	0.127025
0.464656	-0.0332031	0.00100708	0.0332184
0.464887	0.18837	-0.0912933	0.209327
0.465118	0.146439	-0.00717163	0.146614
0.465349	0.173111	0.0515595	0.180626
0.46558	0.0884857	-0.0686035	0.111965
0.465811	0.147308	0.0644226	0.160779
0.466042	0.191254	-0.0236206	0.192707
0.466273	0.0213623	0.0461578	0.0508615
0.466504	0.219925	-0.115143	0.248244
0.466735	0.0735779	-0.0974426	0.122101
0.466966	0.136856	-0.0792236	0.158133
0.467197	0.0803986	0.0341797	0.0873624
0.467428	0.0361328	0.111038	0.116769
0.467659	0.0590057	-0.0823822	0.101334
0.46789	-0.00305176	0.0243836	0.0245738
0.468121	0.0566712	0.0821686	0.0998163
0.468352	0.164627	0.0343018	0.168163
0.468583	0.0978089	0.00784302	0.0981228
0.468814	0.108398	0.192139	0.220607
0.469045	0.0539398	-0.0219574	0.0582377
0.469276	0.0279694	-0.0134277	0.0310256
0.469507	0.0301209	-0.0600586	0.0671886
